record_id,network_event_id,event_timestamp_utc,event_type,origin_number,destination_number,direction,duration_seconds,disposition,origin_subscriber_id,origin_device_id,origin_sim_id,destination_subscriber_id,destination_device_id,destination_sim_id,origin_tower_id,origin_city,origin_latitude,origin_longitude,destination_tower_id,destination_city,destination_latitude,destination_longitude,roaming_flag,call_forwarded_flag,forwarded_to_number,conference_id,previous_value,new_value,source_system
REC-00001,NET-00001,2026-08-01T08:11:22Z,VOICE_CALL,+1-202-555-0101,+1-202-555-0102,OUTBOUND,484,ANSWERED,SUB-001,DEV-1001,SIM-5001,SUB-002,DEV-1002,SIM-5002,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-DC-02,"Washington, DC",38.923,-77.0426,N,N,,,,,SWITCH_A
REC-00002,NET-00005,2026-08-01T09:34:29Z,SMS,+1-202-555-0109,+1-202-555-0110,OUTBOUND,0,DELIVERED,SUB-009,DEV-1009,SIM-5009,SUB-010,DEV-1010,SIM-5010,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,N,N,,,,,MESSAGING_GATEWAY
REC-00003,NET-00006,2026-08-01T09:37:29Z,SMS,+1-202-555-0110,+1-202-555-0109,OUTBOUND,0,DELIVERED,SUB-010,DEV-1010,SIM-5010,SUB-009,DEV-1009,SIM-5009,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,MESSAGING_GATEWAY
REC-00004,NET-00008,2026-08-01T11:07:27Z,VOICE_CALL,+1-202-555-0114,+1-202-555-0115,OUTBOUND,379,ANSWERED,SUB-014,DEV-1014,SIM-5014,SUB-015,DEV-1015,SIM-5015,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,TWR-DEN-01,"Denver, CO",39.7392,-104.9903,N,N,,,,,SWITCH_A
REC-00005,NET-00004,2026-08-01T12:23:06Z,VOICE_CALL,+1-202-555-0105,+1-202-555-0106,OUTBOUND,98,ANSWERED,SUB-005,DEV-1005,SIM-5005,SUB-006,DEV-1006,SIM-5006,TWR-BAL-01,"Baltimore, MD",39.2904,-76.6122,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00006,NET-00009,2026-08-01T13:22:34Z,VOICE_CALL,+1-202-555-0116,+1-305-555-0144,OUTBOUND,507,ANSWERED,SUB-016,DEV-1016,SIM-5016,EXT-144,DEV-2144,SIM-6144,TWR-MIA-01,"Miami, FL",25.7617,-80.1918,TWR-MIA-01,"Miami, FL",25.7617,-80.1918,N,N,,,,,SWITCH_A
REC-00007,NET-00007,2026-08-01T15:01:47Z,VOICE_CALL,+1-202-555-0112,+1-202-555-0113,OUTBOUND,170,ANSWERED,SUB-012,DEV-1012,SIM-5012,SUB-013,DEV-1013,SIM-5013,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,TWR-CHI-01,"Chicago, IL",41.8781,-87.6298,N,N,,,,,SWITCH_A
REC-00008,NET-00078,2026-08-01T16:12:00Z,VOICE_CALL,+1-202-555-0106,+1-202-555-0101,OUTBOUND,74,ANSWERED,SUB-006,DEV-1006,SIM-5006,SUB-001,DEV-1001,SIM-5001,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00009,NET-00002,2026-08-01T17:25:34Z,VOICE_CALL,+1-202-555-0102,+1-202-555-0101,OUTBOUND,320,ANSWERED,SUB-002,DEV-1002,SIM-5002,SUB-001,DEV-1001,SIM-5001,TWR-DC-02,"Washington, DC",38.923,-77.0426,TWR-DC-01,"Washington, DC",38.9072,-77.0369,N,N,,,,,SWITCH_A
REC-00010,NET-00003,2026-08-01T18:48:03Z,VOICE_CALL,+1-202-555-0103,+1-202-555-0104,OUTBOUND,381,ANSWERED,SUB-003,DEV-1003,SIM-5003,SUB-004,DEV-1004,SIM-5004,TWR-ARL-01,"Arlington, VA",38.8816,-77.091,TWR-ARL-01,"Arlington, VA",38.8816,-77.091,N,N,,,,,SWITCH_A
REC-00011,NET-00010,2026-08-01T20:20:35Z,VOICE_CALL,+1-202-555-0107,+1-202-555-0108,OUTBOUND,252,ANSWERED,SUB-007,DEV-1007,SIM-5007,SUB-008,DEV-1008,SIM-5008,TWR-NYC-01,"New York, NY",40.7128,-74.006,TWR-DC-02,"Washington, DC",38.923,-77.0426,N,N,,,,,SWITCH_A
REC-00012,NET-00011,2026-08-02T08:08:10Z,VOICE_CALL,+1-202-555-0101,+1-202-555-0102,OUTBOUND,322,ANSWERED,SUB-001,DEV-1001,SIM-5001,SUB-002,DEV-1002,SIM-5002,TWR-DC-01,"Washington, DC",38.9072,-77.0369,TWR-DC-02,"Washington, DC",38.923,-77.0426,N,N,,,,,BILLING_EXPORT
